Variable,high
creditcardtype,
General purpose,86.54790606304135
Private label,13.452093936958656
currentcreditlimit,
"$1,500 and less",15.657648004286099
"$1,501-$7,500",65.40316099651756
"Over $7,500",18.939190999196356
dayspastdue,
30+ Days past due,5.022769890168765
Current,94.97723010983124
producttype,
Co-brand,16.740333958389144
Other,83.25966604161086
activeflag,
Open and active,98.60255379944638
Other,1.3974462005536208
accountoriginationyear,
2016 and prior,43.89007947138137
2017,19.02848468613269
2018,9.420483971783195
2019,16.494776319314226
2020,11.166175551388518
monthendclosedrevokedflag,
Closed,1.3974462005536208
Not closed,98.60255379944638
cycleendingbalance,
"$1,000-$1,999",14.909813376194304
"$10,000 and over",9.230734887043486
"$2,000-$2,999",20.756317528350746
"$3,000-$4,999",22.73863737833735
"$5,000-$9,999",24.908473970890256
"Under $1,000",7.4560228591838555
borrowerincome,
"$50,000 and less",46.82784177158675
"$50,001-$100,000",24.254397714081612
"Over $100,000",28.917760514331636
originalcreditlimit,
"$1,500 and less",47.73863737833735
"$1,501-$7,500",47.6716671131351
"Over $7,500",4.589695508527547
cycleendingretailapr,
12%-14.99%,13.695419233860164
15%-19.99%,23.794535226359496
20%-23.99%,20.515224573622646
24% and over,24.939726761317974
Under 12%,17.05509420483972
