Variable,low
creditcardtype,
General purpose,97.67741713656993
Private label,2.322582863430065
currentcreditlimit,
"$1,500 and less",1.9821895200110025
"$1,501-$7,500",23.48714069591528
"Over $7,500",74.53066978407372
dayspastdue,
Current,100.0
producttype,
Co-brand,23.179411360198046
Other,76.82058863980195
activeflag,
Open and active,100.0
accountoriginationyear,
2016 and prior,58.41871819557145
2017,6.326502544354284
2018,11.800302571860817
2019,15.573855040572134
2020,7.8806216476413145
monthendclosedrevokedflag,
Not closed,100.0
cycleendingbalance,
"$1,000-$1,999",9.518979507633063
"$10,000 and over",29.614220877458397
"$2,000-$2,999",9.237037546417275
"$3,000-$4,999",15.89018016778985
"$5,000-$9,999",30.209049649291707
"Under $1,000",5.53053225140971
borrowerincome,
"$50,000 and less",47.58286343006464
"$50,001-$100,000",16.648328978132305
"Over $100,000",35.76880759180305
originalcreditlimit,
"$1,500 and less",7.940792188144684
"$1,501-$7,500",55.822789162426076
"Over $7,500",36.23641864942924
cycleendingretailapr,
12%-14.99%,15.310823820657408
15%-19.99%,25.51746664832898
20%-23.99%,20.47001787924632
24% and over,12.64784761380828
Under 12%,26.053844037959017
